Target,HM1,HM2,HM4,HM5,HM7,HM9,HM10,HM11,HM14,HM15,HM16,HM20,HM22,HM23,HM24,HM25,HM29,HM30,HM31,HM31.2,HM41,HM116,HM426
Heroin,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
Fentanyl,0.000,0.000,0.000,0.000,0.000,0.196,0.129,0.034,0.038,0.095,0.001,0.000,0.000,0.000,0.134,0.043,0.000,0.000,0.000,0.066,0.004,0.000,0.000
Lactose,0.000,0.000,0.000,0.023,0.000,0.000,0.000,0.000,0.000,0.056,0.070,0.041,0.000,0.150,0.000,0.068,0.000,0.000,0.000,0.009,0.000,0.000,0.000
Mannitol,0.010,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.072,0.037,0.000,0.000,0.000,0.029,0.000,0.000,0.000,0.028,0.023,0.000,0.000
Cocaine,0.186,0.000,0.000,0.000,0.025,0.000,0.104,0.004,0.000,0.000,0.100,0.000,0.000,0.000,0.000,0.094,0.000,0.000,0.000,0.048,0.034,0.024,0.000
Benzocaine,0.136,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.070,0.079,0.040,0.000,0.000,0.007,0.000,0.000,0.023,0.000,0.000,0.018,0.018,0.000
Naloxone,0.187,0.077,0.087,0.060,0.067,0.000,0.032,0.032,0.026,0.096,0.048,0.000,0.105,0.000,0.144,0.079,0.000,0.023,0.057,0.092,0.059,0.106,0.022
Naltrexone,0.273,0.000,0.083,0.031,0.000,0.041,0.343,0.055,0.042,0.000,0.000,0.013,0.054,0.154,0.101,0.086,0.012,0.000,0.056,0.031,0.006,0.092,0.025
Methylnaltrexone,0.264,0.000,0.000,0.000,0.027,0.068,0.000,0.154,0.000,0.061,0.000,0.040,0.091,0.160,0.000,0.000,0.005,0.000,0.011,0.002,0.000,0.012,0.206
Levamisole,0.036,0.000,0.055,0.088,0.094,0.000,0.000,0.141,0.106,0.236,0.012,0.051,0.000,0.160,0.137,0.113,0.000,0.000,0.015,0.159,0.096,0.059,0.000
Lidocaine,0.051,0.000,0.039,0.044,0.000,0.050,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.123,0.000,0.051,0.026,0.000,0.006,0.000,0.000,0.000,0.000
Acetyl fentanyl,0.000,0.000,0.000,0.013,0.045,0.000,0.000,0.103,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.057,0.000,0.000,0.001,0.053,0.009,0.000,0.000
Procaine,0.140,0.000,0.000,0.078,0.035,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.044,0.000,0.000,0.114,0.071,0.000,0.048
(+)-Pseudoephedrine,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Diphenhydramine,0.063,0.030,0.000,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.033,0.028,0.080,0.000,0.000,0.000,0.000,0.000,0.045,0.000
(+)-Methamphetamine,0.040,0.000,0.007,0.058,0.000,0.000,0.002,0.094,0.000,0.034,0.000,0.051,0.000,0.000,0.000,0.010,0.000,0.000,0.024,0.035,0.000,0.033,0.000
Acetaminophen,0.076,0.000,0.000,0.033,0.000,0.000,0.274,0.000,0.000,0.069,0.000,0.052,0.000,0.000,0.000,0.000,0.000,0.000,0.024,0.000,0.000,0.018,0.016
Xylazine,0.115,0.000,0.000,0.026,0.000,0.056,0.137,0.000,0.026,0.003,0.000,0.000,0.000,0.040,0.000,0.181,0.009,0.009,0.000,0.094,0.000,0.003,0.000
Ethylone,0.048,0.000,0.000,0.076,0.000,0.000,0.321,0.000,0.000,0.000,0.037,0.000,0.000,0.066,0.014,0.109,0.000,0.000,0.009,0.328,0.061,0.000,0.000
Alprazolam,0.060,0.000,0.000,0.000,0.000,0.000,0.522,0.000,0.069,0.000,0.132,0.057,0.000,0.000,0.058,0.237,0.022,0.000,0.000,0.189,0.132,0.000,0.000
Diazepam,0.103,0.000,0.000,0.014,0.000,0.045,0.353,0.000,0.000,0.000,0.090,0.080,0.000,0.000,0.000,0.126,0.000,0.000,0.000,0.140,0.073,0.010,0.000
Clonazepam,0.091,0.000,0.000,0.000,0.000,0.099,0.000,0.000,0.070,0.000,0.003,0.054,0.000,0.000,0.192,0.000,0.092,0.000,0.054,0.278,0.040,0.064,0.000
Papaverine,0.196,0.000,0.027,0.048,0.013,0.104,0.000,0.021,0.030,0.018,0.113,0.085,0.000,0.000,0.102,0.083,0.068,0.029,0.072,0.217,0.041,0.060,0.000
Noscapine,0.043,0.000,0.044,0.010,0.000,0.016,0.000,0.000,0.093,0.039,0.015,0.000,0.000,0.000,0.065,0.101,0.034,0.000,0.000,0.176,0.000,0.102,0.000
Quinine,0.611,0.000,0.000,0.023,0.120,0.052,0.193,0.000,0.000,0.000,0.000,0.000,0.013,0.000,0.169,0.559,0.004,0.000,0.000,0.219,0.000,0.000,0.000
Caffeine,0.037,0.000,0.030,0.056,0.000,0.000,0.000,0.000,0.000,0.011,0.010,0.000,0.000,0.000,0.019,0.000,0.000,0.026,0.000,0.171,0.000,0.000,0.000
Specificity Score,11.068,0.426,1.494,2.943,1.701,2.972,9.637,2.583,2.162,3.169,3.128,2.411,1.049,3.848,4.675,8.488,1.266,0.439,1.318,9.799,2.670,2.580,1.267